Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Experimental Condition [Cell Origin],Experimental Condition [Cell Type],Experimental Condition [PDX Metastatic Efficiency],Comment [Experiment Date],Source Name,Comment [Series Location],Image File,Comment [Image File Comment],Comment [Image File Path],Comment [Image File Type],Channels
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,1,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,2,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,3,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,4,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,5,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,6,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,7,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,8,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,9,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140604_MV3.nd2 [140604_MV3.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140604,140604_MV3,10,140604_MV3.nd2,,data/raw/nd2/140604_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140605_A375.nd2 [140605_A375.nd2 (series 1)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140605,140605_A375,1,140605_A375.nd2,,data/raw/nd2/140605_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,1,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,2,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,3,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,4,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,5,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
